Title,Author,Date,Description,Link,Tags
Website Developer,Carlos Garza,"Dec 10, 2024","We are seeking a creative and skilled Website Developer to design and build a sleek, modern, and responsive one-page website similar to https://www.chillguy.io/",/jobseekers/job/Website-Developer-1277963,"Wordpress,Website Builder"
Developer Needed for AI-Powered Educational App Prototype (Claude API Integration),John-Michael Kuczynski,"Dec 10, 2024","We're seeking a developer to create a prototype ""Smart Book"" - an educational application that interfaces with Anthropic's Claude AI via their API. This initial project serves as both a technical proof-of-concept and an evaluation of our working relationship.",/jobseekers/job/Developer-Needed-for-AI-Powered-Educational-App-Prototype-Claude-API-Integration-1277907,"Fullstack,Mobile Development,API Development"
Full Stack Developer,denis estimon,"Dec 10, 2024","a talented Full Stack Developer proficient in React, Next.js, and either Supabase or Firebase to join our dynamic team this week. The ideal candidate will have proven experience in building and deploying full stack applications. To apply, please submit your…",/jobseekers/job/Full-Stack-Developer-1277870,"React JS,Next JS,PostgreSQL"
Web Developer,Arash Law - PH,"Dec 10, 2024",Job Overview:,/jobseekers/job/Web-Developer-1259554,"Web Programming,Javascript,Fullstack"
SENIOR AUTOMATION DEVELOPER,Nick Cornelius,"Dec 10, 2024","We're looking for an exceptional Senior Developer to join Simpliscale in transforming how businesses operate through intelligent automation. If you're passionate about building systems that create freedom, let's talk.",/jobseekers/job/SENIOR-AUTOMATION-DEVELOPER-1277800,"Marketing Automation,API Development,Team Leadership"
Full Stack Python Developer,Metro Mahout,"Dec 10, 2024",Full Stack Python Developer (React/TypeScript + Python),/jobseekers/job/Full-Stack-Python-Developer-1211645,"Typescript,Python,Django"
Scala/Spark Developer,Jessica Dassala,"Dec 10, 2024","We are seeking a skilled Scala/Spark Developer to join our dynamic team. This position is ideal for someone with a strong background in developing scalable, high-performance applications and a deep understanding of AGILE methodologies. The successful candidate will collaborate with…",/jobseekers/job/ScalaSpark-Developer-1245609,"API Development,Developer tools,Software Development Project Manager"
Java_AWS Developer,Cherrielyn Silao,"Dec 09, 2024",Job Title: Java_AWS Developer,/jobseekers/job/Java_AWS-Developer-1277118,"Java,AWS,Developer tools"
Python Developer for Web Crawling and Data Insertion,Jake O'Toole,"Dec 07, 2024","We are seeking a skilled Python developer to join our team, due to the nature of this project we expect the role to last one to two months. The responsibility of this role is to develop software that crawls various…",/jobseekers/job/Python-Developer-for-Web-Crawling-and-Data-Insertion-1276328,"Python,Python,MySQL"
Python Full Stack developer,denis estimon,"Dec 10, 2024",Job Description:,/jobseekers/job/Python-Full-Stack-developer-1163408,"CSS,Python,Javascript"
Word press developer cum designer,Sheila,"Dec 10, 2024","Looking for an experienced wordpress developer cum designer. We are an agency so will need to multitask and handle multiple projects at a time. Able to takeover previous projects seamlessly, do maintanance and remove malware. Able to design using figma.…",/jobseekers/job/Word-press-developer-cum-designer-1264232,"Wordpress,Woocommerce,Elementor"
Full Stack Developer,Jonathan Munyakazi,"Dec 10, 2024",Full Stack Developer at FirmOS,/jobseekers/job/Full-Stack-Developer-1226483,"Javascript,Python,REST API"
Frontend or Full Stack Developer Needed,Yuichi Murakami,"Dec 10, 2024",We are seeking a highly motivated Frontend or Full Stack Developer to join our dynamic and growing team. This is an exciting opportunity to work on cutting-edge projects that make a real impact to many businesses. If you’re passionate about…,/jobseekers/job/Frontend-or-Full-Stack-Developer-Needed-1277704,"Javascript,Node JS,React JS"
Full Stack Developer + UX/UI Designer,Itay Lev Ari,"Dec 10, 2024","Hiring a **Full Stack Developer + UX/UI Designer** to develop your **Progress and Measure Platform** requires finding a well-rounded candidate with a blend of technical, design, and problem-solving skills. Here's a guide to what you should look for and how…",/jobseekers/job/Full-Stack-Developer-UXUI-Designer-1277671,
E-Learning Platform Developer for Driving School Training Program,Benny,"Dec 10, 2024",Project Description:,/jobseekers/job/E-Learning-Platform-Developer-for-Driving-School-Training-Program-1276202,
